#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
Variables,,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,,,,,,,
Unit,,US Dollar,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  TR020: Manisa,,..,..,..,..,14571,16896,17883,17640,18273,16743,18309,19275,20644,21526,22266,23714,24754,26107,27522,26808,28079
  TR022: Samsun,,..,..,..,..,11094,12312,13328,13448,14023,13092,14212,15224,16059,16480,17237,18671,18791,19389,18582,18864,19541
  TR024: Trabzon,,..,..,..,..,12218,13435,14453,14896,14989,14235,15329,16446,17376,17767,19066,20186,20738,20812,20344,20166,20183
  TR025: Van,,..,..,..,..,5438,5938,6269,6480,6537,6399,7066,7473,9805,8493,8399,8809,9675,10286,10007,10180,10463
USA: United States,,48746,48727,49096,50036,51485,52790,53738,54300,53854,51996,52964,53400,54222,54842,55690,56781,57316,58240,59628,60704,58060
  USA01: New York (Greater),,..,66042,65678,65723,67386,69029,71076,71945,70301,70946,73046,72417,75412,76155,77750,80026,82551,83649,86661,89280,85746
  USA02: Los Angeles (Greater),,..,49265,49817,51156,52491,53741,55538,55965,55608,53093,53918,53955,54466,55310,56291,58705,59732,61417,63028,65176,62005
  USA03: Chicago,,..,57443,57705,58374,59827,61004,62534,63318,61509,59676,60130,60883,62734,62817,64389,66679,67238,68135,70227,71187,67864
  USA04: Washington (Greater),,..,63550,65392,67007,69611,71734,72367,72857,73987,73457,75203,74972,74279,73728,73928,75781,77636,78112,78972,79997,77581
  USA05: San Francisco (Greater),,..,80157,77554,79050,80100,83504,86109,87601,89036,84160,85853,87578,91936,95218,99355,105272,110113,117666,124261,130178,131082
  USA06: Philadelphia (Greater),,..,56617,57120,59004,60796,61162,61675,63521,64654,62739,63379,63286,64906,65313,66723,68132,68684,67896,68842,70424,67906
  USA07: Dallas,,..,54972,55184,54901,56770,58417,60994,61494,61182,56679,57205,58203,58906,59825,60715,61603,62153,62924,64322,65645,63131
  USA08: Houston,,..,57079,54771,54959,59197,60712,63996,67835,65288,61441,64087,66801,68257,69307,68098,68548,65351,66026,68187,66608,62286
  USA09: Miami (Greater),,..,46021,47236,48400,50423,52477,53791,54303,51458,48316,48809,47813,47534,48256,49350,51516,52570,53885,55441,56717,54285
  USA10: Atlanta,,..,64336,63886,64511,65828,66977,65595,64116,60508,57788,57534,57502,57771,58690,60423,62929,65136,66310,67633,69989,66317
  USA11: Boston,,..,71659,71282,72170,74310,75953,77623,79787,79792,78644,81405,81718,82903,82610,83295,87060,88688,89833,93218,96434,93725
  USA12: Phoenix,,..,48509,48962,50367,51138,52922,53660,53745,51444,46838,46194,46583,47340,47022,47075,48022,48864,49616,50714,52113,51158
  USA13: Detroit (Greater),,..,54166,55186,55823,55632,56204,54347,54086,50324,46441,49090,50378,52263,53266,53939,55979,57061,56947,57490,57542,54453
  USA14: Seattle,,..,67560,67305,67786,68449,71840,73759,77703,77948,74845,75793,76530,79247,81167,83046,85700,87158,90100,94868,98314,97867
  USA15: Minneapolis,,..,60413,60670,62867,65028,66811,65632,65868,64563,62291,63433,64313,64967,66057,67832,69224,69702,69963,71641,71652,68427
  USA16: San Diego,,..,52611,54544,57009,59742,62247,63264,63578,61738,59174,58901,58901,58770,60396,61312,63251,63459,65060,66230,68008,66457
  USA17: St. Louis,,..,51615,52253,53561,54451,55409,55154,55454,56393,55529,56009,55853,56870,57078,57940,58569,58324,58054,59239,60022,57886
  USA18: Denver,,..,62900,62458,62012,61633,63257,63179,64712,63349,60711,60734,60383,61174,62476,63723,65596,66106,67136,68940,71462,68720
  USA19: San Antonio,,..,39840,40288,41204,41716,42492,43660,43665,42920,41522,42161,43042,43501,44782,46191,47262,47057,46420,47851,48390,46920
  USA20: Portland,,..,53056,52204,53625,55724,56484,57609,57615,58502,54722,55101,55754,55828,55430,56174,58841,60398,61834,64233,65291,63044
  USA21: Cincinnati,,..,52411,53469,53988,54739,55847,55850,55922,55170,53678,55072,56559,57159,57457,58844,60856,63260,63653,64511,66874,64406
  USA22: Las Vegas,,..,49787,50194,50727,54129,57430,58095,57375,54258,48957,47991,47961,47054,47210,47396,49310,50038,50270,51918,53386,47211
  USA23: Orange,,..,48658,49276,50257,52032,53837,53908,54389,51803,48534,47890,46776,47008,47517,48141,50024,50839,51514,51977,53672,50292
  USA24: Jackson (MO),,..,54048,54999,55137,55559,56425,57432,58281,58805,57175,55959,55447,57464,57699,58823,60857,60298,60909,61564,62908,61530
  USA25: Indianapolis,,..,57381,57306,58420,60513,60187,60815,62016,62854,62348,63252,62939,62502,63620,64451,63350,64421,64200,65836,67063,65069
  USA26: Cuyahoga,,..,51510,52372,53317,54674,56246,56657,56973,56415,53401,54064,55167,55995,56172,57323,58343,58868,59391,60930,62406,60228
  USA27: New Haven,,..,70084,70453,69737,73649,75095,77481,79850,80685,76815,75443,71950,73594,72631,72502,74366,74959,75458,76812,77603,74580
  USA28: Charlotte,,..,62341,62602,64034,66293,69138,71442,69697,72023,64362,60963,62859,65967,64369,65415,67627,68670,71024,70944,71746,69841
  USA29: Sacramento,,..,49056,49352,50389,51353,52912,53719,53663,52413,50706,49292,49269,49354,50543,51260,53317,53777,54481,56027,57732,56406
  USA30: Austin,,..,54854,55084,54555,55157,57117,60430,59604,58648,55895,57087,57142,57127,58507,59572,62628,63945,64888,66760,68394,67428
  USA31: Columbus,,..,52986,53272,53455,54674,55548,54737,54790,53222,51756,52624,53689,55407,56293,57251,58249,59206,59535,59918,61066,59786
  USA32: Milwaukee,,..,55212,54781,55661,56443,58181,59354,59424,57786,56710,57407,58000,58393,58411,58425,59814,60363,60118,61267,62411,59790
  USA33: Jacksonville,,..,46415,47263,48722,49848,50953,51559,51693,49119,46887,46125,45026,45076,45923,46368,47909,48919,49715,50406,51860,51320
  USA34: Salt Lake,,..,49623,50222,50310,52758,55278,58352,59454,57648,54268,55147,56892,57584,57973,58810,60442,62440,63808,67082,69153,68158
  USA35: Tampa-Pinellas,,..,36827,38016,38774,39755,40700,41271,41423,39497,38487,38271,37243,37415,37626,38146,39226,39555,39505,39992,40737,40345
  USA36: Jefferson (KY),,..,45660,45656,46286,47281,48049,48805,48332,46778,45169,46610,46687,48612,48593,49001,50615,51286,50998,51402,52448,51376
  USA37: Memphis,,..,51428,51759,51998,52489,53137,53400,52255,50915,49493,49295,49406,51140,51842,51640,53453,53939,53984,53845,54216,53482
  USA38: Davidson,,..,55276,56851,58577,60229,60888,61499,60741,61420,61026,60888,62185,64886,64927,66523,70899,72074,72936,73539,75662,70450
  USA39: Oklahoma,,..,43078,43387,44760,46464,48675,51513,51667,56793,51358,52422,54336,55655,57081,59155,55212,53321,55140,57087,55041,49162
  USA40: Hartford,,..,67000,63620,64996,69712,70231,72983,76656,75215,75147,74666,73607,73923,71664,73089,78422,79173,80310,80191,80701,76142
  USA41: Pittsburgh,,..,53467,54596,56344,58079,58871,58699,60636,61592,61536,64061,64997,66284,67122,68294,70994,70814,73387,76315,77418,73699
  USA42: New Orleans,,..,45103,45096,48149,49745,53172,69563,66606,69989,65001,73353,59580,60126,56533,56656,56239,54947,59022,60073,59715,54442
  USA43: Virginia Beach,,..,46419,47886,50271,51621,53256,53747,54607,54306,53505,53402,52429,51447,51304,50912,52110,52794,52320,51039,51623,50308
  USA44: Erie (NY),,..,44095,45414,45975,47399,47231,48463,49071,49575,50643,51948,51115,52542,52600,54064,55798,57000,56586,57315,58957,57185
  USA45: Fresno (Greater),,..,32983,34964,36370,37470,37710,38941,38518,36888,36251,37198,38012,36965,38311,38911,39120,40051,41144,41522,42502,41720
  USA46: Richmond (Greater),,..,59983,58410,58796,58389,60176,59271,59361,58373,57301,57983,58784,59814,60961,61274,63908,65030,64953,65478,66525,64985
  USA47: Wake,,..,55327,55390,55445,56273,57060,57901,57709,56406,53157,54652,53325,53686,55761,57451,60606,62772,63908,66001,66831,63863
  USA48: Jefferson (AL),,..,47144,48588,49201,51875,53834,53506,53912,53239,50332,50729,51917,52687,51994,51998,52825,53343,54317,55359,55619,53350
  USA49: Tampa-Hillsborough,,..,53876,55131,57225,60079,61392,61298,61208,58750,56814,56500,55676,55830,56303,56004,57807,58761,58571,59328,61239,59548
  USA50: Pima,,..,37973,37648,39089,37922,38920,38926,39995,40113,37839,38508,37925,38718,38079,37970,38004,39139,39985,40466,40906,39211
  USA51: Tulsa,,..,42920,42127,42683,44408,47692,51480,51527,54105,47698,47726,50634,52257,52779,56135,53717,49708,51601,54224,53739,48901
  USA52: Albany,,..,50735,51711,53075,54505,54319,54803,54642,55513,57366,57805,57345,57797,58474,59292,61564,63392,64516,64771,67840,66108
  USA53: Providence,,..,43505,44791,45683,47416,48439,50467,49294,48103,48390,49622,49465,49903,50231,50852,52251,52484,51923,51606,52459,51130
  USA54: Albuquerque,,..,45459,45249,47781,52293,50006,48724,46841,45566,46512,44665,43315,42747,41716,42435,43202,43809,43380,44044,45331,44344
  USA55: Douglas (NE),,..,50482,51589,53377,55373,56008,57345,58340,57115,57552,58217,60460,61120,59750,62247,64233,63849,65412,66086,67089,66577
  USA56: Rochester (NY),,..,53805,54793,55292,54604,53786,53967,54317,55066,56707,57340,55508,55974,55030,54705,56245,56930,56623,56908,58820,57437
  USA57: Kern,,..,38058,40423,41845,45610,49717,54760,59960,62639,52814,54273,55382,57058,56198,55060,47941,46076,48138,49830,49271,46179
  USA58: Ventura,,..,49232,49530,51791,56042,58386,64137,68780,63497,63668,62562,59466,58280,58779,57935,57805,57356,57668,57698,59540,58266
  USA59: El Paso (TX),,..,28897,29888,29586,30856,31465,31835,32104,30559,30893,32668,33642,34242,33786,33112,34007,34162,34856,36086,37639,37138
  USA60: East Baton Rouge,,..,44734,46954,50116,56058,65369,62383,56892,55224,55194,57780,65862,66634,65055,71129,69783,63190,61344,65391,61924,57561
  USA61: Worcester,,..,43644,44039,44963,45306,45224,45681,46089,46919,45865,46939,47891,48247,48584,48676,50224,50667,50429,51096,51805,50880
  USA62: Hidalgo,,..,22853,22909,24048,24122,24845,25186,25809,25807,23354,23067,22999,22940,23693,23663,23449,23277,23318,23690,24220,24112
  USA63: Richland,,..,44108,44573,45332,46450,47132,48025,48478,47418,46424,45765,45214,44788,45574,46797,48024,48943,48702,48900,49368,48869
  USA64: Lehigh,,..,61993,60941,53724,48627,48080,46701,48389,48151,47646,48253,48491,48976,49383,50017,51608,52992,52873,52961,55249,52988
  USA65: Sarasota,,..,37021,39517,40665,43604,46191,46861,45363,41045,39449,37195,36828,36010,36868,38036,40016,40455,41407,42440,43370,42558
  USA66: Montgomery (OH),,..,48236,49586,50207,51212,51419,50940,49805,48165,46644,47504,48313,47896,48215,48959,50270,51198,52122,53238,54751,53239
  USA67: San Joaquin,,..,35210,35714,36530,37412,38500,37240,37349,36378,35743,34483,33860,34038,35304,35617,36738,36858,37624,38456,39428,39005
  USA68: Kent,,..,51574,52730,53118,54159,54975,54367,54445,51398,49614,50413,50716,52481,52916,54183,57006,58313,58082,59188,59402,57035
  USA69: Charleston,,..,39696,41135,42939,44692,46780,47391,48566,46993,45281,46281,47261,48819,47816,48247,49815,51486,51369,52129,53489,51236
  USA70: Onondaga,,..,49046,49223,50733,51543,51779,51523,52357,51843,52645,54328,53209,54743,55295,56597,59063,58715,59130,59555,61112,59676
  USA71: El Paso (CO),,..,47747,47286,47360,47030,48342,47652,48188,47044,47064,46478,46541,46209,46193,45981,46081,45891,46510,47140,48211,48272
  USA72: Ada,,..,43842,43350,44317,45993,47920,45602,44335,44162,41805,41503,40573,40233,41336,42086,42175,43034,43337,45323,45922,45281
  USA73: Hampden,,..,39810,40164,40610,41219,41336,41223,41333,42007,41847,42878,43062,43625,44116,43946,45901,46391,46449,46674,47768,45908
  USA74: Lee,,..,37612,39508,41979,45562,47125,48634,47216,42649,39365,37867,36681,36825,36906,37838,39450,41238,41025,41508,41656,40232
  USA75: Sedgwick,,..,47484,46699,45684,45257,45416,49888,52745,51262,45912,47702,48711,48352,45469,48394,51313,55410,56426,56057,56671,52818
  USA76: Polk,,..,57156,57517,61749,67120,70611,67983,73754,64613,63581,63770,62510,65947,63295,69684,75229,76383,73231,73390,73919,75013
  USA77: Dauphin,,..,53699,54979,56518,58608,58921,59113,59923,59318,58001,58382,59108,60020,60899,62372,64239,64017,63160,64066,65684,62426
  USA78: Lucas,,..,48070,48960,49001,49391,51439,52121,51483,48057,46401,48645,52284,52305,53029,56683,53627,52698,53356,55888,56971,53423
  USA79: Pulaski,,..,49401,50551,52539,53676,55945,56129,56860,54741,53047,51645,51716,51533,51531,51697,53064,53351,52526,53244,54049,53176
  USA80: Dane,,..,58608,59796,61281,63455,65475,65256,66067,63940,63722,64708,65323,66468,67153,69257,71703,73141,71878,73607,75120,73096
  USA81: Brevard,,..,36563,37261,38783,40686,42174,42966,44355,43234,40835,40278,38311,37003,37030,37477,38822,39043,40200,41182,42445,41925
  USA82: Summit,,..,44945,46721,47984,49220,50244,49816,50834,50270,48262,49090,48801,49435,50192,51271,52215,52709,52596,53478,54694,52331
  USA83: Hamilton (TN),,..,43704,44374,45178,46482,47081,46823,46496,45830,44851,45009,45796,47429,47819,47558,49458,50160,50762,50567,51267,50520
  USA84: Utah,,..,29982,29670,29998,31222,32431,33790,35127,34387,33529,33307,33602,33309,34157,34912,37186,38537,39159,41555,44352,44272
  USA85: Lancaster (PA),,..,46427,46926,48065,48512,48965,48376,47985,47310,45921,46973,46294,46421,47173,47873,50091,50198,51930,52235,52714,50485
  USA86: Stanislaus,,..,33848,34280,34689,36399,36587,36674,36687,35564,35876,35897,35736,35275,35536,37214,38169,38120,39529,40080,40772,40532
  USA87: Greene,,..,35538,36212,37245,38193,39025,38352,37783,37599,36935,36630,35459,35921,35674,36839,38222,37980,38084,38709,39799,38961
  USA88: Fayette,,..,49663,50999,50947,51811,52549,52692,52398,49909,46907,47667,47205,47784,49251,49994,51618,52252,51957,52344,52910,50724
  USA89: Spokane,,..,39788,39833,40142,41259,42317,43462,44358,44592,43283,43008,43006,43309,43570,43949,45034,45620,46080,47708,48479,47178
  USA90: Volusia-Daytona Beach,,..,27540,29318,30868,33232,33558,34165,34597,32579,31197,30790,30230,30275,30227,30712,31127,31764,32100,32444,32778,32237
  USA91: Guilford,,..,66464,68228,66919,64179,64351,65036,64035,64540,64941,63955,64257,60546,62186,61811,63952,62673,62345,61529,61233,58905
  USA92: Sonoma,,..,47581,49491,48565,48117,48845,49292,49870,48778,47501,47991,47984,48692,49518,50922,53590,54954,55887,58727,59946,58766
  USA93: Forsyth,,..,55524,55205,56271,57731,57979,58246,55731,56535,55693,54459,51543,52838,53937,55517,56357,57005,58535,56696,57879,52314
  USA94: Washoe,,..,54169,53576,53424,55866,56863,56058,54802,51525,49025,50089,48849,49954,49306,49509,53208,54846,57624,55685,57142,57268
  USA95: Ingham,,..,46401,47618,47653,47245,47498,47626,47760,44425,42905,45843,43804,42828,42543,43553,45709,47651,47838,48457,48760,47500
  USA96: Montgomery (AL),,..,36533,37281,38482,40627,41893,42178,42171,41232,40676,41375,41347,42205,42250,42050,43302,44491,44522,44501,44663,43603
  USA97: Knox,,..,46670,48223,49617,51830,52522,52559,51924,51215,49127,47950,48364,49978,49758,49979,51604,53123,52830,53434,53754,52566
  USA98: Greenville,,..,64120,67038,67657,57489,56797,55198,55999,53953,51678,52027,53047,52828,52573,53604,56716,58071,59089,60020,59942,58034
  USA99: Mahoning,,..,36340,37481,37665,39624,40869,41278,40606,39582,34953,36412,38007,37661,37591,37159,37023,36897,36398,36884,37732,36153
  USA100: Escambia,,..,34465,34928,36045,37041,38044,38896,39373,38002,37340,37250,37219,36451,36527,36695,38046,39122,39677,39462,40017,39567
  USA101: Caddo,,..,37996,37427,40585,43127,47405,48288,44907,47269,48425,54839,58640,53368,49736,49546,45756,44729,48442,51243,49887,43912
  USA102: Tulare,,..,30380,27633,28439,31308,32224,29682,33561,31192,28257,31012,32569,30944,31736,34693,33828,35064,36577,36404,37800,37305
  USA103: Newport News,,..,41567,42402,44578,45599,46988,45540,47412,49028,49782,49552,49543,48751,49882,48698,50080,49968,49920,50844,52069,49457
  USA104: York,,..,40956,41383,42739,44510,45934,44227,45754,46505,45011,45287,44264,43271,44135,44186,44959,45476,45995,45174,46311,43897
  USA105: Genesee,,..,37543,39008,38991,38081,37571,36067,35184,31859,30254,31741,31987,32766,33857,33832,36232,37306,37341,37955,38366,36687
  USA106: Jefferson (TX),,..,44093,40624,43519,53343,53096,55211,60310,58105,53211,60116,67707,72723,70066,57380,55868,54763,58858,64178,63264,54820
  USA107: Santa Barbara,,..,46241,47887,49673,51475,53154,53800,54929,55479,55637,54961,55242,55946,56359,56648,58559,58446,60009,62068,62562,61509
  USA108: Lafayette,,..,42713,39246,41063,41951,45191,50283,49239,50245,46042,47368,49457,50594,49470,49276,45009,40699,40998,42103,41852,39109
  USA109: Monterey,,..,50646,52342,53317,49204,49616,53211,52844,51689,52931,52370,50185,51463,54739,54741,56950,56678,57883,59408,61320,57978
  USA110: Mobile,,..,36855,37271,38177,39568,41712,44292,44067,44299,43723,43929,45406,45008,45180,45209,44933,45259,46093,47123,47335,45224
  USA111: Berks,,..,40544,40802,40805,41337,41698,43308,42702,42782,41459,42074,43089,43285,43569,44253,46235,46675,46654,46612,46855,44673
  USA112: Cameron,,..,21665,22342,22216,22142,22159,22916,22635,22428,22378,22963,23244,23488,23813,23783,24173,24804,24614,24945,25754,25936
  USA113: Bell,,..,32424,33728,35527,36458,38592,41343,41595,42744,43350,41972,42237,41008,39812,39372,40664,39441,39726,39495,39568,39675
  USA114: Nueces,,..,40287,39094,41874,45325,44885,46624,50345,48021,44851,49320,54019,53852,52848,48703,47687,45230,48141,51791,51987,47793
  USA115: Marion (OR),,..,32607,32981,33731,34181,35145,36633,36220,36337,35040,35076,34067,34352,34417,35114,36872,37973,38908,40187,41150,40575
  USA116: Allen,,..,46992,47793,49117,49781,50234,50882,51052,47412,44261,44873,44602,46347,45556,48414,50543,51767,52655,54273,53696,51321
  USA117: Scott,,..,45913,45902,47291,50446,51568,51837,52481,53487,51952,53183,54619,56243,54446,54594,54159,53561,54136,54115,54761,53924
  USA118: Stark,,..,38654,39130,38947,39647,40307,39237,39048,38773,36979,38625,39982,40867,42119,43826,43832,43299,44318,44470,44309,41939
  USA119: Tallahassee,,..,42320,43419,43684,44871,44421,43750,44865,43625,42607,41741,41043,40938,40409,40984,41602,42624,43401,43114,44112,43348
  USA120: Cumberland (NC),,..,37236,39638,41484,42797,45886,46163,45909,47171,49398,49158,48752,47284,46566,46444,47671,47296,44875,44931,46054,45926
  USA121: Lane,,..,36123,36691,36837,38262,39573,40026,39996,39144,37075,37240,36772,37125,37511,37732,39576,40148,40641,41316,41056,39877
  USA122: Winnebago (IL),,..,43185,43706,43671,43862,43952,44265,44047,42867,40817,40604,41728,42612,42258,42913,44727,44943,45384,46662,46630,43256
  USA123: Chatham,,..,42423,42807,43731,44985,47451,48814,48828,47300,46634,46991,47107,47960,47705,49119,50396,51779,53123,52944,54260,51115
  USA124: Vanderburgh,,..,48812,51353,53969,56823,56528,54985,54482,55116,52808,55365,56435,55594,53708,53054,53652,55507,59663,61740,62228,58985
  USA125: Washtenaw,,..,61792,64612,64635,63180,63357,61885,62618,59045,55791,56896,56093,57556,57665,57927,60671,61677,62749,63861,66206,64900
  USA126: Lubbock,,..,39890,40359,42151,43929,44991,46907,48447,49771,44533,47900,47085,48363,49892,46954,44004,43253,44402,45217,45143,42682
  USA127: Madison,,..,52506,53184,54703,57671,59253,59193,59941,59919,60625,62260,62007,61057,61016,60403,61408,62582,63145,64436,66284,65055
  USA128: Marion (FL),,..,25908,26667,27567,28237,29236,30129,30043,29081,26771,26056,25524,24762,25072,24915,25535,27033,26981,27256,27686,28050
  USA129: Peoria,,..,49998,49377,50181,51847,54597,57620,60785,61234,60883,65792,74180,84119,70889,70391,65934,61858,58868,60771,58880,56042
  USA130: Collier,,..,46344,47617,48733,49604,52310,52446,52388,48175,43975,43591,42043,42264,43009,44342,46628,48724,48397,50337,50641,49420
  USA131: Luzerne,,..,39909,39859,40670,41661,41486,41437,42461,42609,42895,43446,43879,44373,44714,45093,46949,47537,46539,46470,47753,45322
  USA132: Lancaster (NE),,..,49314,49159,50275,50781,52293,53018,53163,51131,50164,50619,50493,51043,51522,52486,54566,54681,56408,57617,58426,58432
  USA133: Thurston,,..,36529,36821,36893,37207,37964,38126,39377,40507,39071,39198,38455,38546,38807,39031,39240,40393,40556,42309,42631,41601
  USA134: Sebastian,,..,32283,32954,33929,35550,36552,37764,36389,36167,33104,34425,35096,34823,34453,34363,33969,33679,33907,34553,34843,34268
  USA135: Roanoke,,..,48048,47707,47651,47206,48464,49229,49862,49386,48414,48716,48025,47922,48791,49352,50983,50523,49534,50041,49630,48722
  USA136: Muscogee,,..,38787,39976,40974,40728,41386,41942,43756,43492,43332,43776,43305,42873,41566,42006,43125,43377,44250,44090,44528,44136
  USA137: Brown,,..,49933,50579,51583,52568,53070,53600,53754,53360,52747,54681,55314,56721,56548,59138,60851,61083,59853,61133,61164,58352
  USA138: Alachua,,..,37122,38070,38199,41123,41358,41113,42964,42018,41649,41102,39956,39740,40256,41193,41835,42100,43125,43943,45242,45683
  USA139: Larimer,,..,44207,46004,45272,45172,45494,45311,45629,45654,45030,45264,44216,45137,46184,47254,48638,49769,52426,53624,55703,55189
  USA140: Boulder,,..,75894,69953,69858,70228,70476,70339,73059,74886,73878,74171,72726,71801,72788,73825,75761,77092,80353,81216,86211,83573
  USA141: Potter,,..,41450,41040,42046,43297,43901,45717,47510,49673,49212,48140,48316,48086,62744,71000,64334,65845,64612,66186,64392,59297
  USA142: Cumberland (ME),,..,59455,59918,61614,64017,64098,64953,64651,64307,64399,64532,63852,64391,63846,64761,65884,67968,69699,71452,73097,72950
  USA143: Erie (PA),,..,38018,37854,38179,39622,41493,42101,43392,45331,42310,42862,44461,43477,43956,41802,42503,41604,40590,41173,42263,40441
  USA144: St. Lucie,,..,27481,28704,29031,31148,32052,32938,31690,29945,29269,27962,27650,27654,28303,28194,28201,28576,28841,29026,28878,28371
  USA145: Nashville,,..,40251,41443,42814,46155,46964,46109,45556,43098,39167,40001,38898,40302,41783,43123,44871,46793,47768,47097,48639,46633
  USA146: Atlantic City,,..,53588,54493,53897,53142,55086,57622,58684,59633,52189,50465,51777,51041,51165,50920,50737,49869,49419,49662,51477,45943
  USA147: McLennan,,..,35479,35846,36682,37447,37799,38128,37601,36854,36937,37524,37706,39185,42216,43754,43312,43706,45201,46056,46557,45249
  USA148: Durham,,..,89303,92172,97378,96123,101565,123153,125339,121841,105957,114351,116598,118366,119109,112917,109558,104230,99418,102980,107335,109031
  USA149: Lackawanna,,..,35419,35685,36070,36642,37399,37522,38227,39335,39783,39974,39517,39034,39168,39685,41063,42072,42696,43528,44441,42938
  USA150: St. Joseph,,..,42178,43136,45460,46625,46636,47335,47537,45286,41899,43629,43894,45061,45715,47478,48612,48297,48415,50198,51318,48664
  USA151: Santa Cruz,,..,44767,44835,45923,45011,44759,44342,44441,44035,44902,47791,46910,46001,47187,47774,47969,48845,49431,51125,54978,54075
  USA152: Webb,,..,34691,32839,35564,35170,38872,38628,37710,38642,32310,34800,42124,50324,64108,73994,53363,46475,51531,53160,49545,39249
  USA153: Minnehaha,,..,48648,55809,53957,62032,64554,69157,68513,67870,66307,65371,69271,74673,72459,75991,76717,78978,78255,78474,80111,76670
  USA154: Merced,,..,25922,26503,28238,30862,30198,28884,33266,29118,27772,28206,29817,29317,30510,32507,31925,31158,32850,31920,32001,31785
  USA155: Benton (WA),,..,45311,47109,46477,46985,47376,47459,48308,48058,48842,52113,50263,47598,47355,47591,48954,49868,49591,49851,51145,49867
  USA156: Weld,,..,38964,36318,37401,39709,42336,41874,43050,46468,42293,44197,46361,48617,54245,62745,55164,53186,59487,65664,60528,46089
  USA157: Kalamazoo,,..,46387,49011,47655,48210,47337,46575,47323,45517,45344,45437,44774,45166,45493,44922,47029,48700,50434,51147,51694,49169
  USA158: Butte,,..,31067,32560,33669,34260,34702,35157,35853,35213,35752,35940,35968,35068,35829,34552,35621,37570,38534,39029,41680,41317
  USA160: Yakima,,..,29554,30549,31701,33275,33282,33072,35526,34389,33435,35116,35333,35857,36243,37787,37066,37706,38410,39815,40211,40104
  USA161: Brazos,,..,34780,35138,38281,39709,44771,47079,50784,57595,47836,48451,48624,47706,51714,54126,47357,45336,47559,49483,49113,45939
  USA162: Tuscaloosa,,..,35620,36963,40295,43717,46659,45452,47017,45129,39544,41582,46909,44729,44358,42381,41090,41260,43149,43973,45120,42095
  USA170: Benton (AR),,..,42699,45577,45958,48139,49762,48943,47292,45492,43885,44662,44454,45801,48038,49027,50791,49784,51043,51328,51739,51423
Data extracted on 15 Jan 2024 01:48 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,
